gov_id,gov_title_zh,gov_title_en,region,rating,official_release_date,publisher,film_length,director,actor_list,source_file
31221,那個人消失了,Who’s gone,日本,保護級,2025-08-01,中影股份有限公司,103,水野格,高橋文哉; 田中圭,31221_那個人消失了.csv
31222,與達賴喇嘛談心：尋找幸福的智慧,Wisdom of Happiness,瑞士,保護級,2025-07-20,海鵬影業有限公司,90,,,31222_與達賴喇嘛談心：尋找幸福的智慧.csv
31251,藍色小精靈大電影,SMURFS,美國,普遍級,2025-07-18,美商美國派拉蒙影片股份有限公司台灣分公司,91,馬特蘭登; 克里斯米勒,約翰古德曼; 娜塔莎諾伊尼; 寇特羅素; 詹姆斯柯登; 蕾哈娜; 漢娜沃丁厄姆,31251_藍色小精靈大電影.csv
31301,我在荒野做了一場夢,Seven Ages of a Man,中華民國,普遍級,2025-08-22,牽猴子股份有限公司,103,沈可尚,徐仁修; 徐仁修,31301_我在荒野做了一場夢.csv
31303,無名弒 2,NOBODY 2,美國,輔15級,2025-08-15,美商美國環球影片股份有限公司台灣分公司,89,提摩塔堅德,約翰歐提茲; 鮑勃奧登科克; 柯林漢克斯; 康妮尼爾森; 莎朗史東; 克里斯多夫洛伊,31303_無名弒 2.csv
31304,沒有煙硝的山村,Vermiglio,法國,保護級,2025-08-08,聯影企業股份有限公司,119,莫拉德佩洛,聖地亞哥馮德維拉; 卡洛塔甘巴; 瑪蒂娜斯克林齊; 朱塞佩德多梅尼科,31304_沒有煙硝的山村.csv
31305,世紀編舞大師,Cranko (John Cranko),德國,輔12級,2025-09-05,聯影企業股份有限公司,139,約阿希姆朗; 約阿希姆朗,山姆萊利,31305_世紀編舞大師.csv
31307,邊境風暴,To a Land Unknown,英國,輔12級,2025-08-14,佳映娛樂國際股份有限公司,105,,,31307_邊境風暴.csv
31308,噪音殺機,Noise,韓國,輔15級,2025-08-29,采昌國際多媒體股份有限公司,93,金秀珍,金玟錫; 韓秀娥; 李先彬; 柳炅秀,31308_噪音殺機.csv
31323,歌劇魅影 20週年經典重映,The Phantom of the Opera,英國,保護級,2025-07-27,天馬行空數位有限公司,141,,,31323_歌劇魅影 20週年經典重映.csv
31325,一念菩提,The Seed of the Sacred Fig,伊朗,輔15級,2025-08-01,好威映象有限公司,166,穆罕默德拉素羅夫,馬哈薩羅斯塔米; 米薩查瑞赫; 賽塔蕾馬勒基; 索海拉戈萊斯塔尼,31325_一念菩提.csv
31329,全知讀者視角,Omniscient Reader,韓國,輔12級,2025-07-21,采昌國際多媒體股份有限公司,116,金秉祐,蔡秀彬; 林珍娜; 安孝燮; 李敏鎬; 金智秀; 申承浩,31329_全知讀者視角.csv
31330,醜繼妹,The Ugly Stepsister,挪威,限制級,2025-08-01,傳影互動股份有限公司,109,艾蜜莉布利希費爾特,莉亞邁倫; 忒亞蘇菲內斯; 安達爾托普,31330_醜繼妹.csv
31352,驚奇4超人：第一步,The Fantastic Four: First Steps,美國,保護級,2025-07-23,台灣華特迪士尼股份有限公司,114,麥特夏克曼,凡妮莎寇比; 艾邦摩斯貝克許; 喬瑟夫昆恩; 佩德羅帕斯卡,31352_驚奇4超人：第一步.csv
31355,電影蠟筆小新：超華麗！灼熱的春日部舞者們,CRAYON SHINCHAN THE MOVIE: SUPER HOT! THE SPICY KASUKABE DANCERS,日本,普遍級,2025-08-22,車庫娛樂股份有限公司,105,,,31355_電影蠟筆小新：超華麗！灼熱的春日部舞者們.csv
31356,岸邊露伴一動也不動 懺悔室,Thus Spoke Kishibe Rohan:At a confessional,日本,輔12級,2025-08-01,原創娛樂股份有限公司,110,渡邊一貴,玉城蒂娜; 飯豐萬理江; 井浦新; 高橋一生,31356_岸邊露伴一動也不動 懺悔室.csv
