gov_id,title_zh,total_amount,avg_amount_per_week,decline_rate_mean,decline_rate_last,peak_amount,avg_theater_count,peak_theater_count,total_weeks,momentum_score,second_week_amount_growth_rate,momentum_3w,region,movie_class,film_length,publisher,same_class_amount_last_week
31762,約見波布,108045.0,36015.0,-0.241,-0.786,50143.0,12.0,15,3,-0.772,-0.544,-0.665,法國,輔12級,,海鵬影業有限公司,36015.0
31767,醜得要命,536511.0,76644.43,-0.235,-0.506,213938.0,9.14,23,7,-0.784,-0.356,-0.432,韓國,輔12級,,壹壹喜喜電影股份有限公司,1374924.815
31769,大競走,5035097.0,719299.57,-0.395,0.0,2017935.0,36.71,81,8,-0.997,-0.596,-0.533,美國,輔15級,,車庫娛樂股份有限公司,2439313.4121276597
31777,奇幻導航,1858006.0,371601.2,3.112,-0.857,1002765.0,47.0,76,5,-0.972,9.611,2.82,美國,保護級,,美商台灣索尼影業發行股份有限公司台灣分公司,2439313.4121276597
31794,劇場版『鏈鋸人 蕾潔篇』,192190191.0,27455741.57,51.306,-0.792,49455153.0,80.43,94,7,-0.754,153.878,51.225,日本,輔15級,,美商台灣索尼影業發行股份有限公司台灣分公司,4661519.714814815
31796,傲嬌公主的奇幻冒險,788439.0,131406.5,2.6,-0.666,375702.0,16.83,35,6,-0.942,4.443,1.161,捷克,普遍級,,希望影視行銷股份有限公司,131406.5
31797,一戰再戰,27789863.0,4631643.83,-0.365,-0.783,9353106.0,71.67,83,6,-0.86,-0.436,-0.492,美國,輔15級,,美商華納兄弟（遠東）股份有限公司台灣分公司,2439313.4121276597
31799,電影版 神奇柑仔店 錢天堂,3368668.0,561444.67,-0.451,-0.975,1381388.0,37.83,67,6,-0.981,-0.582,-0.683,日本,普遍級,,車庫娛樂股份有限公司,4661519.714814815
31801,鬼祭,930378.0,186075.6,-0.563,-0.744,519717.0,18.2,35,5,-0.977,-0.721,-0.814,印尼,輔15級,,采昌國際多媒體股份有限公司,301279.39999999997
31805,阿蒙怎麼了？,100968.0,25242.0,-0.441,-0.975,46103.0,8.0,13,4,-0.992,-0.61,-0.761,挪威,輔12級,,好威映象有限公司,794486.165
31807,泥娃娃,79319351.0,19829837.75,15.432,-0.788,29107538.0,90.5,91,4,-0.84,-0.295,-0.443,中華民國,輔15級,,威視股份有限公司,3483269.1605
31808,夢想巨無霸,2382443.0,476488.6,-0.286,-0.968,1011496.0,32.0,42,5,-0.975,-0.401,-0.42,印尼,普遍級,,采昌國際多媒體股份有限公司,301279.39999999997
31809,疾速營救,1201846.0,240369.2,-0.431,-0.243,590340.0,27.0,48,5,-0.962,-0.611,-0.81,美國,輔12級,,英屬維京群島商高捷全球開發有限公司 台灣分公司,2439313.4121276597
31810,十年,73393.0,36696.5,0.0,0.0,52580.0,5.5,9,3,0.0,-0.83,0.0,香港,輔12級,,佳映娛樂國際股份有限公司,1046015.47
31835,沒好婚姻,2959413.0,493235.5,-0.377,-0.795,1215205.0,24.83,40,6,-0.903,-0.437,-0.563,美國,輔15級,,台灣華特迪士尼股份有限公司,2439313.4121276597
31836,8號出口,11364853.0,1623550.43,-0.429,-0.86,3919140.0,37.0,57,7,-0.929,-0.608,-0.505,日本,保護級,,壹壹喜喜電影股份有限公司,4661519.714814815
31842,蓋比的娃娃屋大電影,2413153.0,482630.6,-0.338,-0.962,1228374.0,52.8,75,5,-0.98,-0.34,-0.537,美國,普遍級,,美商美國環球影片股份有限公司台灣分公司,2439313.4121276597
31863,他年她日,10523797.0,2104759.4,-0.477,-0.783,5279145.0,82.0,98,5,-0.909,-0.297,-0.535,香港,保護級,,香港商甲上娛樂有限公司台灣分公司,1046015.47
31900,一百公尺。,10891796.0,2178359.2,-0.113,-0.815,3672540.0,62.4,69,5,-0.873,-0.235,-0.257,日本,普遍級,,車庫娛樂股份有限公司,4661519.714814815
31904,陰陽眼見子,292259.0,58451.8,-0.573,-0.868,168618.0,10.6,20,5,-0.968,-0.46,-0.696,日本,保護級,,天馬行空數位有限公司,4661519.714814815
32087,碰碰狐和貝貝彬歡唱電影：奇幻世界大冒險(國語版),8452468.0,1690493.6,8.796,-0.929,4036149.0,37.2,48,5,-0.948,12.308,3.88,韓國,普遍級,,香港商甲上娛樂有限公司台灣分公司,1374924.815
32098,藤本樹17-26：PART 1,4392556.0,1464185.33,-0.189,-0.64,1916841.0,20.0,20,3,-0.613,0.074,-0.283,日本,輔12級,,采昌國際多媒體股份有限公司,4661519.714814815
32099,創：戰神,37581810.0,9395452.5,-0.417,-0.785,19442221.0,93.75,95,4,-0.878,-0.605,-0.609,美國,保護級,,台灣華特迪士尼股份有限公司,2439313.4121276597
32103,狼來了,465913.0,116478.25,-0.592,-0.913,306617.0,33.5,62,4,-0.995,-0.72,-0.859,美國,輔15級,,車庫娛樂股份有限公司,2439313.4121276597
32111,徵人啟弒,6408005.0,1602001.25,-0.417,-0.762,3200102.0,65.5,72,4,-0.894,-0.631,-0.649,韓國,輔15級,,英屬維京群島商高捷全球開發有限公司 台灣分公司,1374924.815
32112,風林火山,11257555.0,2814388.75,-0.409,-0.764,5558047.0,80.5,83,4,-0.885,-0.634,-0.637,香港,限制級,,壹壹喜喜電影股份有限公司,1046015.47
32114,藤本樹17-26：PART 2,4287813.0,1429271.0,-0.064,-0.592,2020737.0,20.0,20,3,-0.43,0.4,-0.096,日本,輔12級,,采昌國際多媒體股份有限公司,4661519.714814815
32116,銀魂劇場版 2D 真選組動亂篇,1675738.0,418934.5,-0.505,-0.87,1009490.0,9.5,10,4,-0.949,-0.739,-0.738,日本,保護級,,薩摩亞商羚邦(亞洲)有限公司台灣分公司,4661519.714814815
8873,橫山家之味,226255.0,56563.75,-0.387,-0.746,102590.0,1.75,2,4,-0.904,-0.65,-0.672,日本,普遍級,,傳影互動股份有限公司,4661519.714814815
8878,無人知曉的夏日清晨,335230.0,111743.33,-0.232,-0.751,152730.0,2.0,2,3,-0.737,-0.547,-0.649,日本,輔12級,,傳影互動股份有限公司,4661519.714814815
9161,宿怨,846855.0,211713.75,-0.382,-0.937,443232.0,15.25,22,4,-0.992,0.284,-0.51,美國,輔15級,,傳影互動股份有限公司,2439313.4121276597
