gov_id,title_zh,release_round,release_start,release_end,release_days,total_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,is_re_release,release_initial_date,update_at
16264,阿基拉,21,2022-03-07,2022-04-03,28,4,0.0,0.0,0.0,0.0,0.0,2022-03-07~2022-03-13,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,22,2022-04-04,2022-05-01,28,4,0.0,0.0,0.0,0.0,0.0,2022-04-04~2022-04-10,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,23,2022-05-02,2022-05-29,28,4,0.0,0.0,0.0,0.0,0.0,2022-05-02~2022-05-08,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,24,2022-05-30,2022-06-26,28,4,0.0,0.0,0.0,0.0,0.0,2022-05-30~2022-06-05,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,25,2022-06-27,2022-07-24,28,4,0.0,0.0,0.0,0.0,0.0,2022-06-27~2022-07-03,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,26,2022-07-25,2022-08-21,28,4,0.0,0.0,0.0,0.0,0.0,2022-07-25~2022-07-31,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,27,2022-08-22,2022-09-18,28,4,0.0,0.0,0.0,0.0,0.0,2022-08-22~2022-08-28,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,28,2022-09-19,2022-10-16,28,4,0.0,0.0,0.0,0.0,0.0,2022-09-19~2022-09-25,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,29,2022-10-17,2022-11-13,28,4,0.0,0.0,0.0,0.0,0.0,2022-10-17~2022-10-23,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
16264,阿基拉,30,2022-11-14,2022-12-11,28,4,0.0,0.0,0.0,0.0,0.0,2022-11-14~2022-11-20,0,0.0,,0.0,0.0,False,下檔,True,2020-06-22,2025-10-28 18:37:33
